local_raw,nome_norm,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
Cachoeira do Piriá,cachoeira do piria,1501956.0,Cachoeira do Piriá,-1.75974,-46.5459,0.0,15.0,46.0,91.0,America/Sao_Paulo
Capitão Poço,capitao poco,1502301.0,Capitão Poço,-1.74785,-47.0629,0.0,15.0,445.0,91.0,America/Sao_Paulo
Concórdia do Pará,concordia do para,1502756.0,Concórdia do Pará,-1.99238,-47.9422,0.0,15.0,579.0,91.0,America/Sao_Paulo
Nova Esperança do Piriá,nova esperanca do piria,1504950.0,Nova Esperança do Piriá,-2.26693,-46.9731,0.0,15.0,391.0,91.0,America/Sao_Paulo
próximos à Terra Indígena Alto Rio Guamá (TIARG),proximos a terra indigena alto rio guama (tiarg),,,,,,,,,
Brotas de Macaúbas (Povoado de Queimadas),brotas de macaubas (povoado de queimadas),,,,,,,,,
Curaçá (povoado de Cajueiro),curaca (povoado de cajueiro),,,,,,,,,
Nova Orlinda do Norte,nova orlinda do norte,,,,,,,,,
Maués,maues,1302900.0,Maués,-3.39289,-57.7067,0.0,13.0,261.0,92.0,America/Porto_Velho
Tangará da Serra (assentamento Antônio Conselheiro),tangara da serra (assentamento antonio conselheiro),,,,,,,,,
Camalaú (Cariri da Paraíba),camalau (cariri da paraiba),,,,,,,,,
Juazeiro (distrito de Maniçoba),juazeiro (distrito de manicoba),,,,,,,,,
Curaçá (ilha próxima à localidade de Missão Velha),curaca (ilha proxima a localidade de missao velha),,,,,,,,,
Curaçá (Missão Velho),curaca (missao velho),,,,,,,,,
Viseu (distrito de Santo Antônio do Gurupi),viseu (distrito de santo antonio do gurupi),,,,,,,,,
Entre Barro Alto,entre barro alto,,,,,,,,,
Souto Soares,souto soares,2930808.0,Souto Soares,-12.088,-41.6427,0.0,29.0,3915.0,75.0,America/Sao_Paulo
Entre os municípios de Mulungu,entre os municipios de mulungu,,,,,,,,,
Pacoti,pacoti,2309805.0,Pacoti,-4.22492,-38.922,0.0,23.0,1497.0,85.0,America/Sao_Paulo
Entre os municípios de Mulungu,entre os municipios de mulungu,,,,,,,,,
Pacoti,pacoti,2309805.0,Pacoti,-4.22492,-38.922,0.0,23.0,1497.0,85.0,America/Sao_Paulo
Santa Helena (povoado Mundico),santa helena (povoado mundico),,,,,,,,,
Região do cariri,regiao do cariri,,,,,,,,,
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Salgueiro,salgueiro,2612208.0,Salgueiro,-8.07373,-39.1247,0.0,26.0,2543.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Betânia,betania,2601805.0,Betânia,-8.26787,-38.0345,0.0,26.0,2335.0,87.0,America/Sao_Paulo
Flores,flores,2605608.0,Flores,-7.85842,-37.9715,0.0,26.0,2411.0,87.0,America/Sao_Paulo
Carnaubeira da Penha,carnaubeira da penha,2603926.0,Carnaubeira da Penha,-8.31799,-38.7512,0.0,26.0,2635.0,87.0,America/Sao_Paulo
Parnamirim,parnamirim,2403251.0,Parnamirim,-5.91116,-35.271,0.0,24.0,1779.0,84.0,America/Sao_Paulo
Parnamirim,parnamirim,2610400.0,Parnamirim,-8.08729,-39.5795,0.0,26.0,2507.0,87.0,America/Sao_Paulo
Aparato geral - Pernambuco,aparato geral - pernambuco,,,,,,,,,
Aparato geral - Pernambuco,aparato geral - pernambuco,,,,,,,,,
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Salgueiro,salgueiro,2612208.0,Salgueiro,-8.07373,-39.1247,0.0,26.0,2543.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Betânia,betania,2601805.0,Betânia,-8.26787,-38.0345,0.0,26.0,2335.0,87.0,America/Sao_Paulo
Flores,flores,2605608.0,Flores,-7.85842,-37.9715,0.0,26.0,2411.0,87.0,America/Sao_Paulo
Carnaubeira da Penha,carnaubeira da penha,2603926.0,Carnaubeira da Penha,-8.31799,-38.7512,0.0,26.0,2635.0,87.0,America/Sao_Paulo
Parnamirim,parnamirim,2403251.0,Parnamirim,-5.91116,-35.271,0.0,24.0,1779.0,84.0,America/Sao_Paulo
